symbol,threshold,holding_days,sample_size,corr_fg_same_day,p_fg_same_day,corr_fg_pre7,p_fg_pre7,ef_n,ef_mean,ef_win_rate,fe_n,fe_mean,fe_win_rate,ne_n,ne_mean,ne_win_rate,gr_n,gr_mean,gr_win_rate,eg_n,eg_mean,eg_win_rate
BTCUSDT,-0.03,1,326,-0.0265,0.6332,-0.0238,0.6682,94,0.0098,0.5851,89,-0.0023,0.4944,40,0.002,0.575,57,0.0074,0.6842,46,0.0027,0.5217
BTCUSDT,-0.03,3,326,-0.0198,0.7213,-0.0219,0.6932,94,0.0135,0.6383,89,0.0003,0.4719,40,0.0073,0.675,57,0.0047,0.5965,46,0.0103,0.5652
BTCUSDT,-0.03,7,326,0.0049,0.9297,0.0099,0.8592,94,0.0282,0.6915,89,-0.0071,0.4831,40,0.0096,0.625,57,0.016,0.5789,46,0.0224,0.587
BTCUSDT,-0.05,1,141,-0.0714,0.4004,-0.0416,0.6246,42,0.0177,0.6429,44,-0.001,0.4545,14,-0.0028,0.3571,18,0.0096,0.6111,23,0.0063,0.4348
BTCUSDT,-0.05,3,141,-0.0594,0.4845,-0.0523,0.5377,42,0.0129,0.5952,44,0.0055,0.5227,14,0.0047,0.5714,18,-0.0091,0.4444,23,0.0092,0.5217
BTCUSDT,-0.05,7,141,0.0336,0.6928,0.0401,0.6366,42,0.013,0.5952,44,-0.0203,0.5,14,-0.0266,0.4286,18,-0.0023,0.5556,23,0.0219,0.6087
BTCUSDT,-0.07,1,53,-0.0819,0.5598,-0.0203,0.8854,18,0.0352,0.7778,16,-0.0029,0.625,5,-0.0238,0.0,5,0.0327,0.8,9,0.0173,0.4444
BTCUSDT,-0.07,3,53,-0.1396,0.3189,-0.0717,0.61,18,0.0312,0.6667,16,0.0075,0.5,5,0.0009,0.4,5,-0.0107,0.4,9,0.015,0.5556
BTCUSDT,-0.07,7,53,-0.057,0.6854,-0.0011,0.994,18,0.0387,0.6667,16,-0.0495,0.375,5,-0.0362,0.2,5,-0.0294,0.6,9,0.0262,0.7778
ETHUSDT,-0.03,1,481,0.0258,0.5725,0.056,0.2201,137,0.0027,0.5182,131,0.0046,0.5573,61,0.0003,0.4918,93,0.0139,0.7097,59,0.0004,0.5763
ETHUSDT,-0.03,3,481,0.0438,0.3375,0.0492,0.282,137,0.0022,0.5036,131,0.0088,0.5802,61,0.0034,0.5738,93,0.0228,0.6559,59,0.0051,0.5254
ETHUSDT,-0.03,7,480,0.1341,0.0032,0.1341,0.0032,137,0.0066,0.5401,130,-0.0041,0.4923,61,0.0023,0.5246,93,0.0383,0.6344,59,0.0386,0.6102
ETHUSDT,-0.05,1,233,-0.0646,0.3259,-0.0255,0.6985,80,0.0121,0.575,69,0.0022,0.5362,23,-0.0022,0.4348,34,0.0119,0.6471,27,-0.0044,0.5926
ETHUSDT,-0.05,3,233,-0.0496,0.4514,-0.0501,0.447,80,0.0087,0.5125,69,0.0054,0.5217,23,0.0018,0.5652,34,0.0135,0.6471,27,-0.0155,0.4444
ETHUSDT,-0.05,7,233,0.048,0.4662,0.0581,0.3776,80,0.0169,0.5625,69,-0.011,0.4928,23,-0.0124,0.4783,34,0.0302,0.5,27,0.0122,0.5185
ETHUSDT,-0.07,1,124,-0.1132,0.2107,-0.0784,0.3869,42,0.024,0.5952,43,0.0014,0.5814,10,-0.0024,0.4,12,0.0159,0.75,17,-0.0011,0.5294
ETHUSDT,-0.07,3,124,-0.0472,0.6029,-0.0644,0.4775,42,0.005,0.5238,43,0.0029,0.5116,10,0.003,0.7,12,0.0119,0.5833,17,-0.0099,0.4706
ETHUSDT,-0.07,7,124,0.0304,0.7373,0.0192,0.8328,42,0.0085,0.5714,43,-0.0078,0.5349,10,-0.0539,0.2,12,-0.0229,0.4167,17,0.0391,0.5294
SOLUSDT,-0.03,1,515,0.0385,0.3831,0.0631,0.153,110,0.0007,0.5455,120,0.002,0.5083,89,-0.0035,0.4831,132,0.0108,0.553,64,0.0029,0.4531
SOLUSDT,-0.03,3,515,0.1217,0.0057,0.1502,0.0006,110,0.0007,0.5091,120,-0.0015,0.5167,89,-0.0028,0.4382,132,0.0215,0.5758,64,0.0445,0.5312
SOLUSDT,-0.03,7,514,0.2132,0.0,0.2128,0.0,110,-0.0111,0.4818,119,-0.0103,0.4958,89,-0.0058,0.4944,132,0.0446,0.5227,64,0.0995,0.5625
SOLUSDT,-0.05,1,263,0.0506,0.4134,0.0906,0.1427,61,0.0031,0.5738,66,0.0033,0.5,37,-0.0086,0.5135,55,0.0053,0.5091,44,0.0142,0.4545
SOLUSDT,-0.05,3,263,0.1591,0.0098,0.1876,0.0023,61,0.0078,0.4918,66,-0.0119,0.5303,37,0.0107,0.4865,55,0.0102,0.5818,44,0.0707,0.5682
SOLUSDT,-0.05,7,263,0.268,0.0,0.2663,0.0,61,-0.0083,0.4262,66,-0.0228,0.5152,37,-0.0125,0.5405,55,0.0233,0.5273,44,0.141,0.6136
SOLUSDT,-0.07,1,146,0.1245,0.1344,0.1535,0.0644,41,-0.0011,0.5366,36,-0.0073,0.4722,21,-0.0109,0.5238,24,0.0101,0.5,24,0.0235,0.4167
SOLUSDT,-0.07,3,146,0.2575,0.0017,0.2548,0.0019,41,0.0015,0.4634,36,-0.02,0.5556,21,0.0263,0.5714,24,0.0159,0.5417,24,0.1168,0.7083
SOLUSDT,-0.07,7,146,0.3129,0.0001,0.3129,0.0001,41,0.0041,0.4878,36,-0.029,0.5278,21,-0.0026,0.5714,24,0.0357,0.5,24,0.1869,0.6667
